Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
LES SAULES,QUEBEC,7014298,5240,,,46.82,-71.32,464900000,-711900000,25.9,1973,1973,,,1973.0,1973.0,1973.0,1973.0
LINTON,QUEBEC,7014325,5241,,,47.27,-72.25,471600000,-721500000,270.4,1949,1955,,,1949.0,1955.0,1949.0,1955.0
LORETTEVILLE,QUEBEC,7014329,5242,,,46.87,-71.37,465200000,-712200000,129.5,1977,1982,,,1977.0,1982.0,1977.0,1982.0
LOUISEVILLE,QUEBEC,7014332,5243,,,46.27,-73.02,461600000,-730100000,45.0,1967,2021,,,1967.0,2021.0,1967.0,2018.0
MASCOUCHE,QUEBEC,7014629,5244,,,45.75,-73.6,454500000,-733600000,15.2,1973,2006,,,1973.0,2006.0,1973.0,2006.0
MASKINONGE,QUEBEC,7014630,5245,,,46.23,-73.02,461400000,-730100000,15.2,1957,1973,,,1957.0,1973.0,1957.0,1973.0
NEUFCHATEL,QUEBEC,7015417,5246,,,46.85,-71.37,465100000,-712200000,91.4,1973,1977,,,1973.0,1977.0,1973.0,1977.0
NOTRE DAME DE LA MERCI,QUEBEC,7015665,5247,,,46.23,-74.05,461400000,-740300000,365.8,1973,1994,,,1973.0,1994.0,1973.0,1994.0
OKA,QUEBEC,7015730,5248,,,45.5,-74.07,453000000,-740400000,91.4,1937,2021,,,1937.0,2021.0,1937.0,2018.0
L'ETAPE,QUEBEC,7015791,10871,71382.0,WPD,47.56,-71.23,473344000,-711344000,791.2,1993,2021,1994.0,2021.0,1993.0,2021.0,2005.0,2005.0
QUEBEC,QUEBEC,7016280,5249,,,46.8,-71.22,464800000,-711300000,90.2,1872,1959,,,1872.0,1959.0,1872.0,1959.0
QUEBEC 2,QUEBEC,7016281,5250,,,46.8,-71.27,464800000,-711600000,76.2,1956,1968,,,1956.0,1968.0,1956.0,1968.0
QUEBEC INTL A,QUEBEC,7016293,51457,,YQB,46.79,-71.39,464728000,-712336000,74.4,2013,2021,2013.0,2021.0,2018.0,2021.0,,
QUEBEC/JEAN LESAGE INTL A,QUEBEC,7016294,5251,71708.0,YQB,46.8,-71.38,464800000,-712300000,74.4,1943,2017,1953.0,2013.0,1943.0,2017.0,1943.0,2012.0
RAWDON,QUEBEC,7016350,43189,,MWD,46.02,-73.81,460111339,-734853579,210.0,2005,2007,2005.0,2007.0,,,,
RIGAUD,QUEBEC,7016470,5252,,,45.5,-74.37,453000000,-742200000,46.0,1963,2021,,,1963.0,2021.0,1963.0,2018.0
RIGAUD 2,QUEBEC,7016472,41737,,MRI,45.48,-74.29,452857000,-741733000,30.2,2003,2006,2003.0,2006.0,2003.0,2006.0,,
SAINT-POLYCARPE,QUEBEC,7016474,32462,,MPL,45.31,-74.29,451819000,-741735000,55.7,2003,2007,2003.0,2007.0,2003.0,2007.0,,
RIVIERE A PIERRE,QUEBEC,7016560,5253,,,47.0,-72.17,470000000,-721000000,221.0,1949,1994,,,1949.0,1994.0,1949.0,1994.0
RIVIERE VERTE OUEST,QUEBEC,7016675,5254,,,46.98,-71.83,465900000,-715000000,213.4,1966,2021,,,1966.0,2021.0,1966.0,2018.0
