Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
DUNCAN KELVIN CREEK,COLOMBIE-BRITANNIQUE,1012573,46,,,48.73,-123.73,484405000,-1234339001,103.0,1987,2016,,,1987.0,2016.0,1987.0,2007.0
EAST SOOKE ANDERSON COVE,COLOMBIE-BRITANNIQUE,1012628,47,,,48.35,-123.63,482100000,-1233800000,36.6,1966,1980,,,1966.0,1980.0,1966.0,1980.0
ELK LAKE,COLOMBIE-BRITANNIQUE,1012655,48,,,48.52,-123.38,483100000,-1232300000,114.3,1957,1978,,,1957.0,1978.0,1957.0,1978.0
ELK LAKE 2,COLOMBIE-BRITANNIQUE,1012656,49,,,48.53,-123.38,483200000,-1232300000,53.0,1980,1986,,,1980.0,1986.0,1980.0,1986.0
ESQUIMALT,COLOMBIE-BRITANNIQUE,1012700,50,,,48.43,-123.42,482600000,-1232500000,13.7,1872,1950,,,1872.0,1950.0,1872.0,1950.0
ESQUIMALT LAGOON,COLOMBIE-BRITANNIQUE,1012707,51,,,48.42,-123.47,482500000,-1232800000,15.2,1976,1978,,,1976.0,1978.0,1976.0,1978.0
ESQUIMALT HARBOUR,COLOMBIE-BRITANNIQUE,1012710,52,71798.0,WPF,48.43,-123.44,482555100,-1232621600,3.0,1957,2021,1994.0,2021.0,1957.0,2021.0,1957.0,2005.0
FINLAYSON ARM RD,COLOMBIE-BRITANNIQUE,1012883,53,,,48.5,-123.53,483000000,-1233200000,167.6,1976,1977,,,1976.0,1977.0,1976.0,1977.0
GALIANO ISLAND GCC,COLOMBIE-BRITANNIQUE,1013045,56,,,48.9,-123.35,485400000,-1232100000,15.2,1956,1977,,,1956.0,1977.0,1956.0,1977.0
GANGES MANSELL RD,COLOMBIE-BRITANNIQUE,1013051,57,,,48.87,-123.5,485218200,-1232953450,45.0,1974,2014,,,1974.0,2014.0,1975.0,2007.0
GALIANO ISL BURRILL PT,COLOMBIE-BRITANNIQUE,10130DE,54,,,48.87,-123.32,485200000,-1231900000,1.5,1970,1970,,,1970.0,1970.0,1970.0,1970.0
GALIANO NORTH,COLOMBIE-BRITANNIQUE,10130MN,55,,,48.99,-123.57,485906030,-1233424020,6.0,1975,2021,,,1975.0,2021.0,1975.0,2007.0
GOLDSTREAM LAKE,COLOMBIE-BRITANNIQUE,1013240,58,,,48.45,-123.55,482700000,-1233300000,458.7,1894,1953,,,1894.0,1953.0,1894.0,1953.0
GOLDSTREAM MEADOWS,COLOMBIE-BRITANNIQUE,1013241,59,,,48.62,-123.53,483700000,-1233200000,64.0,1976,1976,,,1976.0,1976.0,1976.0,1976.0
HONEYMOON BAY NORTHWEST,COLOMBIE-BRITANNIQUE,1013519,60,,,48.83,-124.19,484951000,-1241139000,170.0,1989,2003,,,1989.0,2003.0,1989.0,2003.0
JAMES ISLAND,COLOMBIE-BRITANNIQUE,1013720,61,,,48.6,-123.35,483600000,-1232100000,53.6,1914,1978,,,1914.0,1978.0,1914.0,1978.0
KELP REEFS,COLOMBIE-BRITANNIQUE,1013998,10853,,WZO,48.55,-123.24,483251700,-1231413320,0.0,1997,2021,1997.0,2021.0,2018.0,2021.0,,
KUPER ISLAND,COLOMBIE-BRITANNIQUE,1014430,62,,,48.97,-123.63,485800000,-1233800000,,1894,1905,,,1894.0,1905.0,1894.0,1905.0
LAKE COWICHAN,COLOMBIE-BRITANNIQUE,1014493,63,,,48.82,-124.05,484900000,-1240300000,180.0,1924,1994,,,1924.0,1994.0,1924.0,1994.0
LANGFORD LAKE,COLOMBIE-BRITANNIQUE,1014530,64,,,48.43,-123.53,482600000,-1233200000,75.0,1953,1983,,,1953.0,1983.0,1953.0,1983.0
MALAHAT,COLOMBIE-BRITANNIQUE,1014818,10730,,,48.58,-123.58,483500000,-1233500000,275.0,1991,1992,1991.0,1992.0,,,,
MALAHAT,COLOMBIE-BRITANNIQUE,1014820,65,71774.0,WKH,48.57,-123.53,483429700,-1233147700,365.8,1920,2021,1994.0,2021.0,1920.0,2021.0,1920.0,2005.0
MAYNE ISLAND,COLOMBIE-BRITANNIQUE,1014930,66,,,48.85,-123.33,485100000,-1232000000,9.1,1921,1942,,,1921.0,1942.0,1921.0,1942.0
MAYNE ISLAND,COLOMBIE-BRITANNIQUE,1014931,67,,,48.84,-123.32,485041000,-1231913000,28.0,1970,2002,,,1970.0,2002.0,1970.0,2002.0
METCHOSIN,COLOMBIE-BRITANNIQUE,1015105,68,,,48.37,-123.56,482227001,-1233341002,164.0,1911,2021,,,1911.0,2021.0,1915.0,2007.0
METCHOSIN HAPPY VALLEY,COLOMBIE-BRITANNIQUE,1015107,69,,,48.42,-123.53,482500000,-1233200000,76.0,1970,1998,,,1970.0,1998.0,1970.0,1998.0
METCHOSIN MOUNTAIN,COLOMBIE-BRITANNIQUE,1015109,70,,,48.4,-123.53,482400000,-1233200000,91.4,1972,1972,,,1972.0,1972.0,1972.0,1972.0
METCHOSIN PARRY BAY,COLOMBIE-BRITANNIQUE,1015111,6809,,,48.38,-123.5,482300000,-1233000000,3.0,1991,1995,,,1991.0,1995.0,1991.0,1995.0
MILL BAY KILMALU,COLOMBIE-BRITANNIQUE,1015134,71,,,48.65,-123.55,483900000,-1233300000,45.7,1972,1983,,,1972.0,1983.0,1972.0,1983.0
MILL BAY 1 SOUTHWEST,COLOMBIE-BRITANNIQUE,1015136,72,,,48.64,-123.56,483841000,-1233327000,100.0,1989,2006,,,1989.0,2006.0,1989.0,2006.0
MILLSTREAM,COLOMBIE-BRITANNIQUE,1015150,73,,,48.48,-123.55,482900000,-1233300000,213.4,1926,1941,,,1926.0,1941.0,1926.0,1941.0
MILNES LANDING,COLOMBIE-BRITANNIQUE,1015160,74,,,48.35,-123.73,482100000,-1234400000,38.1,1910,1956,,,1910.0,1956.0,1910.0,1956.0
MUIR CREEK 1W,COLOMBIE-BRITANNIQUE,1015242,75,,,48.38,-123.88,482300000,-1235300000,30.0,1970,1986,,,1970.0,1986.0,1970.0,1986.0
NORTH COWICHAN,COLOMBIE-BRITANNIQUE,1015628,76,,,48.82,-123.72,484927000,-1234306000,45.7,1981,2021,,,1981.0,2021.0,1981.0,2007.0
NORTH COWICHAN,COLOMBIE-BRITANNIQUE,1015630,46728,71927.0,VOO,48.82,-123.72,484927010,-1234308009,44.8,2007,2021,2007.0,2021.0,2007.0,2021.0,,
NORTH PENDER ISLAND,COLOMBIE-BRITANNIQUE,1015638,77,,,48.76,-123.29,484550040,-1231712010,98.0,1972,2021,,,1972.0,2021.0,1972.0,2007.0
PENDER ISLAND,COLOMBIE-BRITANNIQUE,1016120,79,,,48.77,-123.3,484600000,-1231800000,26.2,1924,1999,,,1924.0,1999.0,1924.0,1999.0
PIERS ISLAND,COLOMBIE-BRITANNIQUE,1016169,80,,,48.7,-123.42,484200000,-1232500000,17.1,1973,1985,,,1973.0,1985.0,1973.0,1985.0
POINT-NO-POINT,COLOMBIE-BRITANNIQUE,1016203,81,,,48.41,-123.99,482421000,-1235929000,25.0,1990,2005,,,1990.0,2005.0,1990.0,2005.0
PORT RENFREW,COLOMBIE-BRITANNIQUE,1016335,82,,,48.59,-124.33,483530003,-1241935000,10.0,1970,2021,,,1970.0,2021.0,1970.0,2007.0
RACE ROCKS,COLOMBIE-BRITANNIQUE,1016640,10943,71778.0,WQK,48.3,-123.53,481752743,-1233153186,7.4,1994,2021,1994.0,2021.0,1995.0,2021.0,,
RACE ROCKS LIGHTSTATION,COLOMBIE-BRITANNIQUE,1016641,83,,,48.3,-123.53,481800000,-1233200000,4.9,1984,1997,,,1984.0,1997.0,1984.0,1997.0
RIVER JORDAN,COLOMBIE-BRITANNIQUE,1016780,84,,,48.42,-124.05,482500000,-1240300000,3.0,1908,1972,,,1908.0,1972.0,1908.0,1972.0
SAANICHTON CDA,COLOMBIE-BRITANNIQUE,1016940,87,,,48.62,-123.42,483718000,-1232508000,61.0,1914,2021,,,1914.0,2021.0,1914.0,2007.0
SAANICH CAMOSUN COLLEGE,COLOMBIE-BRITANNIQUE,1016941,88,,,48.5,-123.42,483000000,-1232500000,38.1,1974,1975,,,1974.0,1975.0,1974.0,1975.0
SAANICH DENSMORE,COLOMBIE-BRITANNIQUE,1016942,89,,,48.5,-123.4,483000000,-1232400000,59.0,1963,1992,,,1963.0,1992.0,1963.0,1992.0
SAANICHTON CFIA,COLOMBIE-BRITANNIQUE,1016943,54641,73028.0,VSA,48.62,-123.42,483718000,-1232508000,61.0,2020,2021,2020.0,2021.0,2020.0,2021.0,,
SALTAIR,COLOMBIE-BRITANNIQUE,1016980,90,,,48.97,-123.77,485800000,-1234600000,15.2,1959,1967,,,1959.0,1967.0,1959.0,1967.0
SALTSPRING ISLAND,COLOMBIE-BRITANNIQUE,1016990,91,,,48.85,-123.5,485100000,-1233000000,73.2,1893,1977,,,1893.0,1977.0,1893.0,1977.0
SALTSPRING IS CUSHEON LK,COLOMBIE-BRITANNIQUE,1016992,92,,,48.82,-123.48,484913000,-1232836000,107.9,1976,2001,,,1976.0,2001.0,1976.0,2001.0
SALTSPRING ST MARY'S L,COLOMBIE-BRITANNIQUE,1016995,93,,,48.89,-123.55,485317000,-1233247000,45.7,1975,2021,,,1975.0,2021.0,1975.0,2007.0
SAANICH DOM ASTRO OBS,COLOMBIE-BRITANNIQUE,10169DK,85,,,48.52,-123.42,483100000,-1232500000,222.5,1916,1977,,,1916.0,1977.0,1916.0,1977.0
SAANICH OLDFIELD,COLOMBIE-BRITANNIQUE,10169MK,86,,,48.55,-123.42,483300000,-1232500000,69.8,1965,1966,,,1965.0,1966.0,1965.0,1966.0
SAANICHTON MT NEWTON,COLOMBIE-BRITANNIQUE,1016RM0,78,,,48.6,-123.43,483551000,-1232538000,42.7,1980,2021,,,1980.0,2021.0,1980.0,2007.0
SALTSPRING VESUVIUS,COLOMBIE-BRITANNIQUE,1017000,94,,,48.88,-123.57,485300000,-1233400000,7.6,1955,1975,,,1955.0,1975.0,1955.0,1975.0
SATURNA CAPMON,COLOMBIE-BRITANNIQUE,1017098,95,,,48.78,-123.13,484631000,-1230740006,178.0,1989,2017,,,1989.0,2017.0,1989.0,2007.0
SATURNA CAPMON CS,COLOMBIE-BRITANNIQUE,1017099,6810,71914.0,VTS,48.78,-123.13,484630080,-1230741080,178.0,1991,2021,2006.0,2021.0,1991.0,2021.0,1991.0,2007.0
SATURNA ISLAND CS,COLOMBIE-BRITANNIQUE,1017101,96,71473.0,WEZ,48.78,-123.04,484702067,-1230241082,24.4,1980,2021,1994.0,2021.0,1980.0,2021.0,1980.0,2007.0
SHAWNIGAN LAKE,COLOMBIE-BRITANNIQUE,1017230,97,,,48.65,-123.63,483849010,-1233735070,159.0,1911,2021,,,1911.0,2021.0,1911.0,2007.0
SHAWNIGAN LAKE NORTH,COLOMBIE-BRITANNIQUE,1017233,98,,,48.65,-123.63,483900000,-1233800000,149.4,1973,1976,,,1973.0,1976.0,1973.0,1976.0
SHERINGHAM POINT,COLOMBIE-BRITANNIQUE,1017254,6811,71780.0,WSP,48.38,-123.92,482236100,-1235515700,6.9,1992,2021,1994.0,2021.0,1992.0,2021.0,1992.0,2007.0
SIDNEY DEEP COVE,COLOMBIE-BRITANNIQUE,1017329,99,,,48.68,-123.4,484100000,-1232400000,18.3,1967,1973,,,1967.0,1973.0,1967.0,1973.0
SOOKE,COLOMBIE-BRITANNIQUE,1017556,100,,,48.37,-123.73,482200000,-1234400000,27.4,1970,1992,,,1970.0,1992.0,1970.0,1992.0
SOOKE GLINZ LAKE,COLOMBIE-BRITANNIQUE,1017559,101,,,48.42,-123.63,482500000,-1233800000,256.0,1983,1995,,,1983.0,1995.0,1983.0,1995.0
SOOKE LAKE,COLOMBIE-BRITANNIQUE,1017560,102,,,48.52,-123.7,483100000,-1234200000,172.8,1903,1966,,,1903.0,1966.0,1903.0,1966.0
SOOKE LAKE NORTH,COLOMBIE-BRITANNIQUE,1017563,103,,,48.58,-123.64,483432000,-1233824000,231.0,1966,2011,,,1966.0,2011.0,1966.0,2007.0
